DATA_LANCAMENTO_OBRA,TITULO_ORIGINAL,TIPO_OBRA,PAIS_OBRA,CPB_ROE,PUBLICO_TOTAL,RENDA_TOTAL,RAZAO_SOCIAL_DISTRIBUIDORA,REGISTRO_DISTRIBUIDORA,CNPJ_DISTRIBUIDORA
2024-07-18,A MÚSICA NATUREZA DE LÉA FREIRE,DOCUMENTÁRIO,BRASIL,B2200453400000,100.0,750.0,KOMPANHIA TEATRO MULTIMÍDIA DE SÃO PAULO,57643.0,60.740.149/0001-39
2024-07-18,LO QUE QUEDA EN EL CAMINO,DOCUMENTÁRIO,ALEMANHA,B2200307000000,107.0,2131.83,LIRA FILMES PRODUÇÕES LTDA ME,28406.0,21.054.261/0001-64
2024-07-18,ZHONG QUAN BA GONG,FICÇÃO,CHINA,E2400256900000,12873.0,264399.08,SM DISTRIBUIDORA DE FILMES LTDA,11922.0,08.257.054/0001-49
2024-07-18,LA ESTRATÉGIA DEL MERO,FICÇÃO,BRASIL,B2300315200000,469.0,8032.34,BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP,19243.0,39.079.678/0001-47
2024-07-04,A FLOR DO BURITI,FICÇÃO,PORTUGAL,B2300570500000,56.0,807.95,EMBAUBA FILMES LTDA,23638.0,15.144.532/0001-70
2024-07-04,"ORLANDO, MA BIOGRAPHIE POLITIQUE",DOCUMENTÁRIO,FRANÇA,E2400084300000,251.0,3937.42,CINECLUBE PAU BRASIL,2685.0,29.171.311/0001-03
2024-07-04,LATE NIGHT WITH THE DEVIL,FICÇÃO,AUSTRÁLIA,E2400176800000,88841.0,1752001.09,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,22724.0,17.095.184/0001-13
2024-06-27,THE FEELING THAT THE TIME FOR DOING SOMETHING HAS PASSED,FICÇÃO,ESTADOS UNIDOS,E2400222500000,211.0,3189.8,SYNAPSE BRAZIL PRODUCTION AND DISTRIBUTION LTDA,277.0,02.185.369/0001-41
2024-06-27,THE GREAT ESCAPER,FICÇÃO,FRANÇA,E2400091800000,16463.0,396290.19,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,22724.0,17.095.184/0001-13
2024-06-27,A QUIET PLACE: DAY ONE,FICÇÃO,ESTADOS UNIDOS,E2400134100000,420932.0,9085979.13,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,169.0,27.654.722/0001-16
2024-06-27,SALAMANDRA,FICÇÃO,BÉLGICA,B2300469100000,260.0,4114.55,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,12443.0,08.656.129/0001-64
2024-06-27,TÔ DE GRAÇA - O FILME,FICÇÃO,BRASIL,B2400057900000,181510.0,3207261.23,SM DISTRIBUIDORA DE FILMES LTDA,11922.0,08.257.054/0001-49
2024-06-20,CINDERELLA'S CURSE,FICÇÃO,REINO UNIDO,E2400214500000,2545.0,43259.77,A2 DISTRIBUIDORA DE FILMES LTDA EPP,34811.0,18.338.912/0001-33
2024-06-20,THE BIKERIDERS,FICÇÃO,ESTADOS UNIDOS,E2400070700000,26728.0,660042.58,WARNER BROS. (SOUTH) INC.,265.0,33.015.827/0001-28
2024-06-20,GHOST: RITE HERE RITE NOW,VÍDEOMUSICAL,ESTADOS UNIDOS,E2400185600000,11481.0,313015.08,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,749.0,01.289.530/0001-64
2024-06-20,BANDIDA,FICÇÃO,BRASIL,B2400093000000,24239.0,493614.38,SM DISTRIBUIDORA DE FILMES LTDA,11922.0,08.257.054/0001-49
2024-06-20,INSIDE OUT 2,ANIMAÇÃO,ESTADOS UNIDOS,E2400179900000,10673358.0,216833152.0,THE WALT DISNEY COMPANY (BRASIL) LTDA.,18398.0,73.042.962/0001-87
2024-06-20,TUDO O QUE VOCÊ PODIA SER,DOCUMENTÁRIO,BRASIL,B2300139700000,1456.0,14556.7,KOMPANHIA TEATRO MULTIMÍDIA DE SÃO PAULO,57643.0,60.740.149/0001-39
2024-06-13,ORDINARY ANGELS,FICÇÃO,ESTADOS UNIDOS,E2400143100000,31215.0,605051.29,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,84.0,00.979.601/0001-98
2024-06-13,AVASSALADORAS 2.0,FICÇÃO,BRASIL,B2400119900000,10943.0,175499.16,THE WALT DISNEY COMPANY (BRASIL) LTDA.,18398.0,73.042.962/0001-87
2024-06-13,13 SENTIMENTOS,FICÇÃO,BRASIL,B2400158500000,5162.0,88550.96,VITRINE FILMES LTDA,16713.0,11.620.976/0001-83
2024-06-13,O ANEL DE EVA,FICÇÃO,BRASIL,B2200497100000,658.0,8660.57,ELO AUDIOVISUAL SERVIÇOS LTDA,5672.0,07.700.630/0001-18
2024-06-13,LE RAVISSEMENT,FICÇÃO,FRANÇA,E2400176700000,1174.0,24655.07,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,173.0,03.599.148/0001-82
2024-06-13,AMELIA´S CHILDREN,FICÇÃO,PORTUGAL,E2400023000000,74639.0,1281058.98,WMIX DISTRIBUIDORA LTDA.,1935.0,03.918.609/0001-32
2024-06-13,PORTO PRÍNCIPE,FICÇÃO,BRASIL,B2200266500000,183.0,4254.16,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,63.0,67.431.718/0001-03
2024-06-13,A ESTAÇÃO,FICÇÃO,BRASIL,B2300257900000,478.0,7830.38,VACA AMARELA FILMES EIRELI,17148.0,10.407.637/0001-50
2024-06-13,L´ORDINE DEL TEMPO,FICÇÃO,ITÁLIA,E2400178000000,3861.0,70821.5,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,12443.0,08.656.129/0001-64
2024-06-12,HIT MAN,FICÇÃO,ESTADOS UNIDOS,E2400091500000,117290.0,2231612.0,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,22724.0,17.095.184/0001-13
2024-06-12,NAUGHTY,FICÇÃO,RÚSSIA,E2400119200000,366.0,5970.0,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,443.0,00.943.231/0001-39
2024-06-06,"BONNARD, PIERRE ET MARTHE",FICÇÃO,BÉLGICA,E2400172900000,5072.0,104386.65,ANTONIO FERNANDES FILMES LTDA,532.0,02.668.665/0001-01
2024-06-06,NINE 1/2 WEEKS,FICÇÃO,ESTADOS UNIDOS,E2400131600000,1274.0,23110.65,A2 DISTRIBUIDORA DE FILMES LTDA EPP,34811.0,18.338.912/0001-33
